FacilityID,FacilityName,VOCs,TSP,SOx,NOx,Total,Total(不含VOCs)
R9004310,科技部南部科學工業園區管理局(台南園區資源再生中心),3.1,0.023,5.931,4.131,13.185,10.085
S2005652,大連化學工業股份有限公司大發廠,14.718,0.791,0.93,8.361,24.8,10.082
R1001719,臺南紡織股份有限公司仁德廠,0.453,0.171,1.539,8.361,10.524,10.071
H4600533,南洋染整股份有限公司第三廠,0.431,1.22,3.629,5.218,10.498,10.067
N1607141,台灣鋼聯股份有限公司,0.001,0.001,5.559,4.504,10.065,10.064
H4504705,紘楷股份有限公司楊梅廠,0.134,2.238,2.867,4.84,10.079,9.945
L0200464,台灣電力股份有限公司台中發電廠﹝麗水場區貯煤場﹞,0,9.93,0,0,9.93,9.93
G3900148,茂豐企業股份有限公司,0,9.892,0,0,9.892,9.892
R9701850,官田鋼鐵股份有限公司官田廠,0,0.724,5.07,4.083,9.877,9.877
N2904318,力鵬企業股份有限公司彰化尼龍總廠,14,0.644,5.087,4.131,23.862,9.862
E4900744,東南水泥股份有限公司高雄廠,0,9.321,0.189,0.34,9.85,9.85
L02A0301,中聯資源股份有限公司台中廠,0,1.952,1.014,6.853,9.819,9.819
N2400959,普大應用材料股份有限公司,58.448,0.616,5.145,4.056,68.265,9.817
H5302045,錦展實業股份有限公司,0.896,3.48,3.211,3.126,10.713,9.817
H4601254,旭富製藥科技股份有限公司桃園廠,9.797,0.764,5.628,3.418,19.607,9.81
S2602419,南六企業股份有限公司二廠(燕巢廠),0,0.468,5.51,3.822,9.8,9.8
V8000089,礐興企業股份有限公司太麻里廠,0,9.665,0,0,9.665,9.665
H5000046,盛功瀝青工業股份有限公司,0.461,7.335,0.947,1.377,10.12,9.659
R1412418,統一實業股份有限公司二廠,0,0.063,0,9.548,9.611,9.611
H4301008,名佳利金屬工業股份有限公司,4.218,7.797,1.55,0.256,13.821,9.603
T5005817,和生開發有限公司里港場,0.029,9.455,0.033,0.021,9.538,9.509
H5300363,銓盟企業股份有限公司,1.58,2.499,1.734,5.214,11.027,9.447
N1101162,建大工業股份有限公司,7.286,0.996,4.659,3.784,16.725,9.439
P4606327,旭硝子顯示玻璃股份有限公司斗六一廠,5.622,0.409,2.32,6.68,15.031,9.409
S29A1499,農生企業股份有限公司,0,8.434,0.558,0.405,9.397,9.397
R1004729,晉通化學工業股份有限公司台南廠,193.163,0.722,5.142,3.52,202.547,9.384
H4602313,環泰企業股份有限公司南崁廠,0,0.874,2.274,6.206,9.354,9.354
H4801487,長庚醫療財團法人林口長庚紀念醫院,0.037,0.272,5.678,3.374,9.361,9.324
N1601854,獻麒紡織工業股份有限公司,0.714,1.121,4.238,3.936,10.009,9.295
O1703342,日新玻璃股份有限公司,0.132,1.603,1.801,5.869,9.405,9.273
G3900317,兆峰實業股份有限公司,0,9.272,0,0,9.272,9.272
G3706015,新寶元鋼鐵股份有限公司一廠,0,0.595,5.513,3.163,9.271,9.271
H4601290,台硝股份有限公司桃園廠,0.668,0.369,0.247,8.653,9.937,9.269
R1401264,統一企業股份有限公司永康廠,0.08,0.342,4.725,4.18,9.327,9.247
E5600565,盛餘股份有限公司,7.169,0.437,0,8.804,16.41,9.241
L9000737,福壽實業股份有限公司總廠,0,8.575,0,0.658,9.233,9.233
A4004950,好名賸餘土石方及營建廢棄物資源處理場,0,9.221,0,0,9.221,9.221
H47A5196,虹冠實業股份有限公司二廠,0,0.675,1.532,6.944,9.151,9.151
L0506863,英銓實業有限公司大里廠,0,9.134,0,0,9.134,9.134
U9700058,日豐窯業股份有限公司,0.13,7.28,0.556,1.267,9.233,9.103
K7201485,光和耐火工業股份有限公司,0,6.992,0.692,1.396,9.08,9.08
H5200617,聯成鋼鐵股份有限公司桃園廠,10.472,0,2.166,6.889,19.527,9.055
G4103214,潤泰精密材料股份有限公司蘭崁礦區,0,9.044,0,0,9.044,9.044
T5700693,大成長城企業股份有限公司,0,6.115,1.662,1.153,8.93,8.93
